Row Labels	Day 5- 23C (Silo 9)	Day 5- 29C (Silo 8)	Day 8- 23C (Silo 9)	Day 8- 29C (Silo 8)
Grand Total	4.44941E+12	9.80015E+12	6.5829E+12	9.77579E+12
CGI_10018876	2.12271E+11	4.33454E+11	3.04729E+11	4.40127E+11
CGI_10022729	2.12395E+11	4.23051E+11	3.02203E+11	4.31278E+11	K1QWP8	K1QWP8_CRAGI	unreviewed	Actin-2	CGI_10022729	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376
CGI_10028701	1383662306	4098788533	2373209675	4228553686	K1S151	K1S151_CRAGI	unreviewed	Rab GDP dissociation inhibitor beta	CGI_10028701	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	442	GO:0005622
CGI_10028701	1383662306	4098788533	2373209675	4228553686	K1S151	K1S151_CRAGI	unreviewed	Rab GDP dissociation inhibitor beta	CGI_10028701	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	442	GO:0007264
CGI_10028701	1383662306	4098788533	2373209675	4228553686	K1S151	K1S151_CRAGI	unreviewed	Rab GDP dissociation inhibitor beta	CGI_10028701	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	442	GO:0015031
CGI_10028701	1383662306	4098788533	2373209675	4228553686	K1S151	K1S151_CRAGI	unreviewed	Rab GDP dissociation inhibitor beta	CGI_10028701	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	442	GO:0016491
CGI_10021852	1755705409	4023346603	2513775935	3768199392	K1R4D4	K1R4D4_CRAGI	unreviewed	40S ribosomal protein SA	CGI_10021852	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	304	GO:0000028
CGI_10021852	1755705409	4023346603	2513775935	3768199392	K1R4D4	K1R4D4_CRAGI	unreviewed	40S ribosomal protein SA	CGI_10021852	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	304	GO:0003735
CGI_10021852	1755705409	4023346603	2513775935	3768199392	K1R4D4	K1R4D4_CRAGI	unreviewed	40S ribosomal protein SA	CGI_10021852	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	304	GO:0006412
CGI_10021852	1755705409	4023346603	2513775935	3768199392	K1R4D4	K1R4D4_CRAGI	unreviewed	40S ribosomal protein SA	CGI_10021852	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	304	GO:0022627
CGI_10007057	1458584462	4306418954	2731533461	3537355841	K1R1M7	K1R1M7_CRAGI	unreviewed	Ubiquitin-like modifier-activating enzyme 1	CGI_10007057	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	867	GO:0005524
CGI_10007057	1458584462	4306418954	2731533461	3537355841	K1R1M7	K1R1M7_CRAGI	unreviewed	Ubiquitin-like modifier-activating enzyme 1	CGI_10007057	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	867	GO:0006464
CGI_10007057	1458584462	4306418954	2731533461	3537355841	K1R1M7	K1R1M7_CRAGI	unreviewed	Ubiquitin-like modifier-activating enzyme 1	CGI_10007057	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	867	GO:0008641
CGI_10004855	691672858	4554567854	1623730514	5153637136	K1QHA4	K1QHA4_CRAGI	unreviewed	Uncharacterized protein	CGI_10004855	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	308
CGI_10019707	1123958115	5211071885	2578111710	3074626482	K1QPM8	K1QPM8_CRAGI	unreviewed	40S ribosomal protein S3a	CGI_10019707	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	306	GO:0003735
CGI_10019707	1123958115	5211071885	2578111710	3074626482	K1QPM8	K1QPM8_CRAGI	unreviewed	40S ribosomal protein S3a	CGI_10019707	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	306	GO:0006412
CGI_10019707	1123958115	5211071885	2578111710	3074626482	K1QPM8	K1QPM8_CRAGI	unreviewed	40S ribosomal protein S3a	CGI_10019707	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	306	GO:0022627
CGI_10001665	1569628439	4989761380	604983622	2625674986	K1RWX7	K1RWX7_CRAGI	unreviewed	Metabotropic glutamate receptor 3	CGI_10001665	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	2847	GO:0004930
CGI_10001665	1569628439	4989761380	604983622	2625674986	K1RWX7	K1RWX7_CRAGI	unreviewed	Metabotropic glutamate receptor 3	CGI_10001665	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	2847	GO:0016021
CGI_10005425	836197176	2886111527	2036548631	3979653873	K1PWN1	K1PWN1_CRAGI	unreviewed	Uncharacterized protein	CGI_10005425	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	543
CGI_10015523	1440082388	2865199580	2219615420	3207524112	K1RNB6	K1RNB6_CRAGI	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase	CGI_10015523	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	511	GO:0016620
CGI_10000231	530032636	3637458357	1243239132	4156113014	K1P1Q0	K1P1Q0_CRAGI	unreviewed	Uncharacterized protein (Fragment)	CGI_10000231	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	154
CGI_10025935	908139794	3640624370	1931605263	3023020341	K1QNZ3	K1QNZ3_CRAGI	unreviewed	Serine/threonine-protein phosphatase (EC 3.1.3.16)	CGI_10025935	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	312	GO:0004721
CGI_10001663	1010548788	3116460688	2525924336	2832786481	K1Q6X1	K1Q6X1_CRAGI	unreviewed	40S ribosomal protein S3a	CGI_10001663	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	176	GO:0003735
CGI_10001663	1010548788	3116460688	2525924336	2832786481	K1Q6X1	K1Q6X1_CRAGI	unreviewed	40S ribosomal protein S3a	CGI_10001663	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	176	GO:0005840
CGI_10001663	1010548788	3116460688	2525924336	2832786481	K1Q6X1	K1Q6X1_CRAGI	unreviewed	40S ribosomal protein S3a	CGI_10001663	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	176	GO:0006412
CGI_10023627	1389070711	3269322568	1722110393	3094150288	K1QDK5	K1QDK5_CRAGI	unreviewed	"Glutamate dehydrogenase 2, mitochondrial"	CGI_10023627	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	516	GO:0006520
CGI_10023627	1389070711	3269322568	1722110393	3094150288	K1QDK5	K1QDK5_CRAGI	unreviewed	"Glutamate dehydrogenase 2, mitochondrial"	CGI_10023627	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	516	GO:0016021
CGI_10023627	1389070711	3269322568	1722110393	3094150288	K1QDK5	K1QDK5_CRAGI	unreviewed	"Glutamate dehydrogenase 2, mitochondrial"	CGI_10023627	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	516	GO:0016491
CGI_10023627	1389070711	3269322568	1722110393	3094150288	K1QDK5	K1QDK5_CRAGI	unreviewed	"Glutamate dehydrogenase 2, mitochondrial"	CGI_10023627	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	516	GO:0016746
CGI_10018499	1233654195	3845790147	1871028103	2503932835	K1QI28	K1QI28_CRAGI	unreviewed	V-type proton ATPase subunit B	CGI_10018499	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	522	GO:0005524
CGI_10018499	1233654195	3845790147	1871028103	2503932835	K1QI28	K1QI28_CRAGI	unreviewed	V-type proton ATPase subunit B	CGI_10018499	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	522	GO:0015991
CGI_10018499	1233654195	3845790147	1871028103	2503932835	K1QI28	K1QI28_CRAGI	unreviewed	V-type proton ATPase subunit B	CGI_10018499	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	522	GO:0016820
CGI_10018499	1233654195	3845790147	1871028103	2503932835	K1QI28	K1QI28_CRAGI	unreviewed	V-type proton ATPase subunit B	CGI_10018499	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	522	GO:0033180
CGI_10018499	1233654195	3845790147	1871028103	2503932835	K1QI28	K1QI28_CRAGI	unreviewed	V-type proton ATPase subunit B	CGI_10018499	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	522	GO:0046034
CGI_10020449	898024582	3621143652	2103638729	2825884656	K1RSZ6	K1RSZ6_CRAGI	unreviewed	40S ribosomal protein S7	CGI_10020449	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	192	GO:0003735
CGI_10020449	898024582	3621143652	2103638729	2825884656	K1RSZ6	K1RSZ6_CRAGI	unreviewed	40S ribosomal protein S7	CGI_10020449	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	192	GO:0005840
CGI_10020449	898024582	3621143652	2103638729	2825884656	K1RSZ6	K1RSZ6_CRAGI	unreviewed	40S ribosomal protein S7	CGI_10020449	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	192	GO:0006412
CGI_10022522	850878989	3507824251	1774067610	3304019660	K1R115	K1R115_CRAGI	unreviewed	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1)"	CGI_10022522	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	771	GO:0005743
CGI_10022522	850878989	3507824251	1774067610	3304019660	K1R115	K1R115_CRAGI	unreviewed	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1)"	CGI_10022522	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	771	GO:0006099
CGI_10022522	850878989	3507824251	1774067610	3304019660	K1R115	K1R115_CRAGI	unreviewed	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1)"	CGI_10022522	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	771	GO:0008177
CGI_10022522	850878989	3507824251	1774067610	3304019660	K1R115	K1R115_CRAGI	unreviewed	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1)"	CGI_10022522	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	771	GO:0022900
CGI_10022522	850878989	3507824251	1774067610	3304019660	K1R115	K1R115_CRAGI	unreviewed	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1)"	CGI_10022522	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	771	GO:0050660
CGI_10023024	907840155	3212494397	2064282744	3201346858	K1QGK2	K1QGK2_CRAGI	unreviewed	Coatomer subunit beta (Beta-coat protein)	CGI_10023024	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	963	GO:0000139
CGI_10023024	907840155	3212494397	2064282744	3201346858	K1QGK2	K1QGK2_CRAGI	unreviewed	Coatomer subunit beta (Beta-coat protein)	CGI_10023024	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	963	GO:0005198
CGI_10023024	907840155	3212494397	2064282744	3201346858	K1QGK2	K1QGK2_CRAGI	unreviewed	Coatomer subunit beta (Beta-coat protein)	CGI_10023024	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	963	GO:0006886
CGI_10023024	907840155	3212494397	2064282744	3201346858	K1QGK2	K1QGK2_CRAGI	unreviewed	Coatomer subunit beta (Beta-coat protein)	CGI_10023024	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	963	GO:0016192
CGI_10023024	907840155	3212494397	2064282744	3201346858	K1QGK2	K1QGK2_CRAGI	unreviewed	Coatomer subunit beta (Beta-coat protein)	CGI_10023024	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	963	GO:0030126
CGI_10021672	1810081129	3140552112	2405334975	1996051707
CGI_10012871	1318393270	2673913504	2259964945	3052420859	K1QYT5	K1QYT5_CRAGI	unreviewed	"Phosphate carrier protein, mitochondrial"	CGI_10012871	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	503	GO:0006810
CGI_10012871	1318393270	2673913504	2259964945	3052420859	K1QYT5	K1QYT5_CRAGI	unreviewed	"Phosphate carrier protein, mitochondrial"	CGI_10012871	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	503	GO:0016021
CGI_10003170	723489619	3825230947	1120204729	3510720898	K1PDC6	K1PDC6_CRAGI	unreviewed	Proteasome subunit beta type (EC 3.4.25.1)	CGI_10003170	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	208	GO:0004298
CGI_10003170	723489619	3825230947	1120204729	3510720898	K1PDC6	K1PDC6_CRAGI	unreviewed	Proteasome subunit beta type (EC 3.4.25.1)	CGI_10003170	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	208	GO:0005634
CGI_10003170	723489619	3825230947	1120204729	3510720898	K1PDC6	K1PDC6_CRAGI	unreviewed	Proteasome subunit beta type (EC 3.4.25.1)	CGI_10003170	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	208	GO:0005737
CGI_10003170	723489619	3825230947	1120204729	3510720898	K1PDC6	K1PDC6_CRAGI	unreviewed	Proteasome subunit beta type (EC 3.4.25.1)	CGI_10003170	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	208	GO:0005839
CGI_10003170	723489619	3825230947	1120204729	3510720898	K1PDC6	K1PDC6_CRAGI	unreviewed	Proteasome subunit beta type (EC 3.4.25.1)	CGI_10003170	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	208	GO:0051603
CGI_10017163	1197807020	3720898614	1709095816	2531827032	K1QR72	K1QR72_CRAGI	unreviewed	Dipeptidyl-peptidase 3	CGI_10017163	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	749	GO:0005737
CGI_10017163	1197807020	3720898614	1709095816	2531827032	K1QR72	K1QR72_CRAGI	unreviewed	Dipeptidyl-peptidase 3	CGI_10017163	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	749	GO:0008239
CGI_10017163	1197807020	3720898614	1709095816	2531827032	K1QR72	K1QR72_CRAGI	unreviewed	Dipeptidyl-peptidase 3	CGI_10017163	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	749	GO:0046872
CGI_10025806	673349920	2999951121	1608193828	3834025805	K1Q4S5	K1Q4S5_CRAGI	unreviewed	Cadherin-87A	CGI_10025806	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	1753	GO:0005509
CGI_10025806	673349920	2999951121	1608193828	3834025805	K1Q4S5	K1Q4S5_CRAGI	unreviewed	Cadherin-87A	CGI_10025806	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	1753	GO:0005886
CGI_10025806	673349920	2999951121	1608193828	3834025805	K1Q4S5	K1Q4S5_CRAGI	unreviewed	Cadherin-87A	CGI_10025806	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	1753	GO:0007156
CGI_10025806	673349920	2999951121	1608193828	3834025805	K1Q4S5	K1Q4S5_CRAGI	unreviewed	Cadherin-87A	CGI_10025806	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	1753	GO:0016021
CGI_10003355	732703697	3403984658	1618659658	3326824454	K1PNZ5	K1PNZ5_CRAGI	unreviewed	Catalase (EC 1.11.1.6)	CGI_10003355	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	511	GO:0004096
CGI_10003355	732703697	3403984658	1618659658	3326824454	K1PNZ5	K1PNZ5_CRAGI	unreviewed	Catalase (EC 1.11.1.6)	CGI_10003355	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	511	GO:0006979
CGI_10003355	732703697	3403984658	1618659658	3326824454	K1PNZ5	K1PNZ5_CRAGI	unreviewed	Catalase (EC 1.11.1.6)	CGI_10003355	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	511	GO:0020037
CGI_10003355	732703697	3403984658	1618659658	3326824454	K1PNZ5	K1PNZ5_CRAGI	unreviewed	Catalase (EC 1.11.1.6)	CGI_10003355	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	511	GO:0042744
CGI_10003355	732703697	3403984658	1618659658	3326824454	K1PNZ5	K1PNZ5_CRAGI	unreviewed	Catalase (EC 1.11.1.6)	CGI_10003355	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	511	GO:0046872
CGI_10025192	1946532868	2524775939	2459788213	2143262734	K1Q662	K1Q662_CRAGI	unreviewed	Actin-interacting protein 1	CGI_10025192	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	603
CGI_10012919	367746430	3541492762	1484395641	3670546174	K1REQ4	K1REQ4_CRAGI	unreviewed	Cytochrome c oxidase subunit 6B	CGI_10012919	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	97	GO:0004129
CGI_10012919	367746430	3541492762	1484395641	3670546174	K1REQ4	K1REQ4_CRAGI	unreviewed	Cytochrome c oxidase subunit 6B	CGI_10012919	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	97	GO:0005739
CGI_10021773	367746430	3541492762	1484395641	3670546174
CGI_10017767	745235983	3538938693	2155768194	2598488575	K1QW36	K1QW36_CRAGI	unreviewed	60S ribosomal protein L6	CGI_10017767	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	228	GO:0003735
CGI_10017767	745235983	3538938693	2155768194	2598488575	K1QW36	K1QW36_CRAGI	unreviewed	60S ribosomal protein L6	CGI_10017767	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	228	GO:0005840
CGI_10017767	745235983	3538938693	2155768194	2598488575	K1QW36	K1QW36_CRAGI	unreviewed	60S ribosomal protein L6	CGI_10017767	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	228	GO:0006412
CGI_10000096	966570333	3418621435	1689143285	2960059310
CGI_10021848	966570333	3418621435	1689143285	2960059310
CGI_10019175	1455687903	2991903235	1832918000	2749258820	K1QCM0	K1QCM0_CRAGI	unreviewed	Rho GDP-dissociation inhibitor 1	CGI_10019175	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	206	GO:0005094
CGI_10019175	1455687903	2991903235	1832918000	2749258820	K1QCM0	K1QCM0_CRAGI	unreviewed	Rho GDP-dissociation inhibitor 1	CGI_10019175	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	206	GO:0005737
CGI_10016366	1003501841	3012793766	1759470602	3242288123
CGI_10020746	1046435030	2991756308	2027451528	2928550965	K1RHP3	K1RHP3_CRAGI	unreviewed	Proliferation-associated protein 2G4	CGI_10020746	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	384
CGI_10014243	1490084534	3063248235	1728110890	2710967020	K1Q525	K1Q525_CRAGI	unreviewed	Mechanosensory protein 2 (Fragment)	CGI_10014243	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	355	GO:0016021
CGI_10011511	1256922331	2867682843	1889384697	2851339100	K1PB82	K1PB82_CRAGI	unreviewed	Electron transfer flavoprotein subunit beta	CGI_10011511	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	255	GO:0009055
CGI_10020579	758274293	3287865700	1310365620	3481434049	K1S0A7	K1S0A7_CRAGI	unreviewed	Deleted in malignant brain tumors 1 protein	CGI_10020579	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	2454	GO:0005044
CGI_10020579	758274293	3287865700	1310365620	3481434049	K1S0A7	K1S0A7_CRAGI	unreviewed	Deleted in malignant brain tumors 1 protein	CGI_10020579	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	2454	GO:0016020
CGI_10020579	758274293	3287865700	1310365620	3481434049	K1S0A7	K1S0A7_CRAGI	unreviewed	Deleted in malignant brain tumors 1 protein	CGI_10020579	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	2454	GO:0016787
CGI_10001357	1610815082	2006579483	2296055242	2832156963	K1PV35	K1PV35_CRAGI	unreviewed	Kyphoscoliosis peptidase	CGI_10001357	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	689
CGI_10014314	1164219270	2721284763	1763919421	3041869769	K1QHH8	K1QHH8_CRAGI	unreviewed	Putative 10-formyltetrahydrofolate dehydrogenase ALDH1L2	CGI_10014314	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	990	GO:0009058
CGI_10014314	1164219270	2721284763	1763919421	3041869769	K1QHH8	K1QHH8_CRAGI	unreviewed	Putative 10-formyltetrahydrofolate dehydrogenase ALDH1L2	CGI_10014314	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	990	GO:0016567
CGI_10014314	1164219270	2721284763	1763919421	3041869769	K1QHH8	K1QHH8_CRAGI	unreviewed	Putative 10-formyltetrahydrofolate dehydrogenase ALDH1L2	CGI_10014314	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	990	GO:0016620
CGI_10014314	1164219270	2721284763	1763919421	3041869769	K1QHH8	K1QHH8_CRAGI	unreviewed	Putative 10-formyltetrahydrofolate dehydrogenase ALDH1L2	CGI_10014314	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	990	GO:0016742
CGI_10007733	1175524255	2734032480	2003915368	2668653503	K1PTI6	K1PTI6_CRAGI	unreviewed	Glucose-6-phosphate isomerase (EC 5.3.1.9)	CGI_10007733	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	557	GO:0004347
CGI_10007733	1175524255	2734032480	2003915368	2668653503	K1PTI6	K1PTI6_CRAGI	unreviewed	Glucose-6-phosphate isomerase (EC 5.3.1.9)	CGI_10007733	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	557	GO:0006094
CGI_10007733	1175524255	2734032480	2003915368	2668653503	K1PTI6	K1PTI6_CRAGI	unreviewed	Glucose-6-phosphate isomerase (EC 5.3.1.9)	CGI_10007733	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	557	GO:0006096
CGI_10013567	1059734981	2838295536	2155850137	2379967452	K1Q9W5	K1Q9W5_CRAGI	unreviewed	T-complex protein 1 subunit eta	CGI_10013567	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	423	GO:0005524
CGI_10013567	1059734981	2838295536	2155850137	2379967452	K1Q9W5	K1Q9W5_CRAGI	unreviewed	T-complex protein 1 subunit eta	CGI_10013567	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	423	GO:0005737
CGI_10013567	1059734981	2838295536	2155850137	2379967452	K1Q9W5	K1Q9W5_CRAGI	unreviewed	T-complex protein 1 subunit eta	CGI_10013567	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	423	GO:0006457
CGI_10003354	1000684809	3296213246	1733023430	2401574276	K1QW72	K1QW72_CRAGI	unreviewed	Catalase	CGI_10003354	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	335	GO:0004096
CGI_10003354	1000684809	3296213246	1733023430	2401574276	K1QW72	K1QW72_CRAGI	unreviewed	Catalase	CGI_10003354	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	335	GO:0006979
CGI_10003354	1000684809	3296213246	1733023430	2401574276	K1QW72	K1QW72_CRAGI	unreviewed	Catalase	CGI_10003354	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	335	GO:0020037
CGI_10007455	5589	4554145910	43110	3856952378
CGI_10012353	773629744	3105313292	2070546998	2390216732	K1PPV2	K1PPV2_CRAGI	unreviewed	Uncharacterized protein	CGI_10012353	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	558	GO:0005576
CGI_10012353	773629744	3105313292	2070546998	2390216732	K1PPV2	K1PPV2_CRAGI	unreviewed	Uncharacterized protein	CGI_10012353	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	558	GO:0006030
CGI_10012353	773629744	3105313292	2070546998	2390216732	K1PPV2	K1PPV2_CRAGI	unreviewed	Uncharacterized protein	CGI_10012353	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	558	GO:0008061
CGI_10026412	1707101070	2637461857	1934639084	2044124687	K1RDM2	K1RDM2_CRAGI	unreviewed	60S ribosomal protein L18a	CGI_10026412	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	176	GO:0003735
CGI_10026412	1707101070	2637461857	1934639084	2044124687	K1RDM2	K1RDM2_CRAGI	unreviewed	60S ribosomal protein L18a	CGI_10026412	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	176	GO:0005840
CGI_10026412	1707101070	2637461857	1934639084	2044124687	K1RDM2	K1RDM2_CRAGI	unreviewed	60S ribosomal protein L18a	CGI_10026412	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	176	GO:0006412
CGI_10009059	776106239	2287541148	1755037328	3460730173	K1QSG0	K1QSG0_CRAGI	unreviewed	Carbonic anhydrase 2	CGI_10009059	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	327	GO:0004089
CGI_10009059	776106239	2287541148	1755037328	3460730173	K1QSG0	K1QSG0_CRAGI	unreviewed	Carbonic anhydrase 2	CGI_10009059	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	327	GO:0006730
CGI_10009059	776106239	2287541148	1755037328	3460730173	K1QSG0	K1QSG0_CRAGI	unreviewed	Carbonic anhydrase 2	CGI_10009059	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	327	GO:0008270
CGI_10027742	776106239	2287541148	1755037328	3460730173
CGI_10021188	1045678538	2733939039	1841943964	2642565346	K1S6V7	K1S6V7_CRAGI	unreviewed	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	CGI_10021188	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	1039	GO:0003676
CGI_10021188	1045678538	2733939039	1841943964	2642565346	K1S6V7	K1S6V7_CRAGI	unreviewed	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	CGI_10021188	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	1039	GO:0006461
CGI_10021188	1045678538	2733939039	1841943964	2642565346	K1S6V7	K1S6V7_CRAGI	unreviewed	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	CGI_10021188	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	1039	GO:0008408
CGI_10021188	1045678538	2733939039	1841943964	2642565346	K1S6V7	K1S6V7_CRAGI	unreviewed	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	CGI_10021188	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	1039	GO:0008601
CGI_10026265	1127254305	2506990185	1523553646	3075916825	K1Q6E7	K1Q6E7_CRAGI	unreviewed	Glutathione S-transferase P 1	CGI_10026265	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	213	GO:0004364
CGI_10026265	1127254305	2506990185	1523553646	3075916825	K1Q6E7	K1Q6E7_CRAGI	unreviewed	Glutathione S-transferase P 1	CGI_10026265	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	213	GO:0008152
CGI_10000075	851131472	2960501195	1385155950	3027714140	K1Q947	K1Q947_CRAGI	unreviewed	"Dynein light chain 2, cytoplasmic"	CGI_10000075	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	89	GO:0007017
CGI_10000075	851131472	2960501195	1385155950	3027714140	K1Q947	K1Q947_CRAGI	unreviewed	"Dynein light chain 2, cytoplasmic"	CGI_10000075	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	89	GO:0030286
CGI_10020305	851131472	2960501195	1385155950	3027714140	K1R3A7	K1R3A7_CRAGI	unreviewed	"Dynein light chain 2, cytoplasmic"	CGI_10020305	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	137	GO:0007017
CGI_10020305	851131472	2960501195	1385155950	3027714140	K1R3A7	K1R3A7_CRAGI	unreviewed	"Dynein light chain 2, cytoplasmic"	CGI_10020305	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	137	GO:0030286
CGI_10008664	593391744	2927595585	1588602967	3101290918
CGI_10028384	581667691	5244548200	2141982787	207661561	K1RRS8	K1RRS8_CRAGI	unreviewed	Phosphoglucomutase-2 (Fragment)	CGI_10028384	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	508	GO:0000287
