Protein	Len	27	32	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value Zstatistic	fdr	FDRup	FDRdown																												
CHOYP_MBCDH18.1.1|m.34344	9555	298	117	-1.156	1.156	-11.1531	11.1531	0	0.585685	0	CHOYP_MBCDH18.1.1|m.34344	Q2PZL6	FAT4_MOUSE	27.01	3717	2418	143	796	4407	81	3607	0	733	1	Q2PZL6	FAT4_MOUSE	reviewed	Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)	Fat4 Fatj	Mus musculus (Mouse)	4981	branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]	GO:0001658; GO:0001736; GO:0001822; GO:0003007; GO:0005509; GO:0005622; GO:0005886; GO:0007009; GO:0007156; GO:0007157; GO:0007219; GO:0008543; GO:0016021; GO:0021987; GO:0022008; GO:0035329; GO:0043931; GO:0045177; GO:0048565; GO:0060122; GO:0070062; GO:0072006; GO:0072137; GO:0072307				PF00028;PF00008;PF07645;PF12661;PF02210;	apical part of cell [GO:0045177]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]
CHOYP_DNAH5.2.2|m.61452	4593	77	31	-1.147	1.147	-5.583	5.583	0	0.585959	0	CHOYP_DNAH5.2.2|m.61452	Q8TE73	DYH5_HUMAN	62.56	4631	1627	21	57	4592	6	4624	0	5986	1	Q8TE73	DYH5_HUMAN	reviewed	"Dynein heavy chain 5, axonemal (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5)"	DNAH5 DNAHC5 HL1 KIAA1603	Homo sapiens (Human)	4624	cilium assembly [GO:0060271]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; flagellated sperm motility [GO:0030317]; heart development [GO:0007507]; lateral ventricle development [GO:0021670]; outer dynein arm assembly [GO:0036158]	GO:0003341; GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0005930; GO:0007368; GO:0007507; GO:0016887; GO:0021670; GO:0030317; GO:0036157; GO:0036158; GO:0060271				PF07728;PF12780;PF08385;PF08393;PF03028;PF12777;	axoneme [GO:0005930]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; outer dynein arm [GO:0036157]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule motor activity [GO:0003777]; cilium assembly [GO:0060271]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; flagellated sperm motility [GO:0030317]; heart development [GO:0007507]; lateral ventricle development [GO:0021670]; outer dynein arm assembly [GO:0036158]
CHOYP_ISCW_ISCW011341.1.1|m.18728	974	19	8	-1.14	1.14	-2.6096	2.6096	0	0.591077	0	CHOYP_ISCW_ISCW011341.1.1|m.18728	B4NYV0	SRRT_DROYA	43.9	902	379	23	39	849	1	866	0	634	1	B4NYV0	SRRT_DROYA	reviewed	Serrate RNA effector molecule homolog (Arsenite-resistance protein 2 homolog)	Ars2 GE19427	Drosophila yakuba (Fruit fly)	944	conversion of ds siRNA to ss siRNA involved in RNA interference [GO:0033168]; defense response to Gram-negative bacterium [GO:0050829]; negative regulation of viral genome replication [GO:0045071]; neurogenesis [GO:0022008]; primary miRNA processing [GO:0031053]; RNA interference [GO:0016246]	GO:0005654; GO:0016246; GO:0022008; GO:0031053; GO:0033168; GO:0045071; GO:0050829; GO:0071011; GO:0071013				PF04959;PF12066;	catalytic step 2 spliceosome [GO:0071013]; nucleoplasm [GO:0005654]; precatalytic spliceosome [GO:0071011]; conversion of ds siRNA to ss siRNA involved in RNA interference [GO:0033168]; defense response to Gram-negative bacterium [GO:0050829]; negative regulation of viral genome replication [GO:0045071]; neurogenesis [GO:0022008]; primary miRNA processing [GO:0031053]; RNA interference [GO:0016246]
CHOYP_MTHR.1.1|m.54596	650	26	11	-1.109	1.109	-3.1309	3.1309	0	0.588646	0	CHOYP_MTHR.1.1|m.54596	Q5I598	MTHR_BOVIN	64	600	212	3	35	633	44	640	0	818	1	Q5I598	MTHR_BOVIN	reviewed	Methylenetetrahydrofolate reductase (EC 1.5.1.20)	MTHFR	Bos taurus (Bovine)	655	methionine metabolic process [GO:0006555]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate interconversion [GO:0035999]	GO:0004489; GO:0005829; GO:0006555; GO:0006730; GO:0035999	PATHWAY: One-carbon metabolism; tetrahydrofolate interconversion.		cd00537;	PF02219;	cytosol [GO:0005829]; methylenetetrahydrofolate reductase (NAD(P)H) activity [GO:0004489]; methionine metabolic process [GO:0006555]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate interconversion [GO:0035999]
K22E_HUMAN	645	33	15	-1.08	1.08	-3.3388	3.3388	0	0.588107	0																												
CHOYP_BRAFLDRAFT_67520.2.2|m.34594	9069	15	7	-1.046	1.046	-2.1335	2.1335	0	0.595843	0	CHOYP_BRAFLDRAFT_67520.2.2|m.34594	Q29116	TENA_PIG	34.86	109	52	6	6655	6754	405	503	0.000006	57.8	1	Q29116	TENA_PIG	reviewed	Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (P230) (Tenascin-C) (TN-C)	TNC HXB	Sus scrofa (Pig)	1746	cell adhesion [GO:0007155]; regulation of cell proliferation [GO:0042127]	GO:0005578; GO:0007155; GO:0042127			cd00063;cd00087;	PF07974;PF00147;PF00041;	proteinaceous extracellular matrix [GO:0005578]; cell adhesion [GO:0007155]; regulation of cell proliferation [GO:0042127]
CHOYP_ZYRO0F11880G.1.1|m.7082	299	15	7	-1.041	1.041	-2.1142	2.1142	0	0.59612	0	CHOYP_ZYRO0F11880G.1.1|m.7082	Q5UQ88	UBC3_MIMIV	40.65	155	81	6	145	288	396	550	3.00E-10	64.7	1	Q5UQ88	UBC3_MIMIV	reviewed	Probable ubiquitin-conjugating enzyme E2 R521 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme R521) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)	MIMI_R521	Acanthamoeba polyphaga mimivirus (APMV)	1441	DNA protection [GO:0042262]; protein ubiquitination [GO:0016567]	GO:0005524; GO:0016021; GO:0016567; GO:0016740; GO:0042262	PATHWAY: Protein modification; protein ubiquitination. {ECO:0000255|PROSITE-ProRule:PRU00388}.			PF00179;	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transferase activity [GO:0016740]; DNA protection [GO:0042262]; protein ubiquitination [GO:0016567]
K1C9_HUMAN	623	95	42	-1.036	1.036	-5.523	5.523	0	0.585986	0																												
CHOYP_TXND3.1.4|m.3505	736	32	15	-1.006	1.006	-3.0963	3.0963	0	0.588763	0	CHOYP_TXND3.1.4|m.3505	Q9Y5B8	NDK7_HUMAN	37.23	282	159	5	257	522	92	371	3.00E-52	190	1	Q9Y5B8	NDK7_HUMAN	reviewed	Nucleoside diphosphate kinase 7 (NDK 7) (NDP kinase 7) (EC 2.7.4.6) (nm23-H7)	NME7	Homo sapiens (Human)	376	CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228]	GO:0004550; GO:0005524; GO:0005813; GO:0006183; GO:0006228; GO:0006241; GO:0046872				PF06565;PF00334;	centrosome [GO:0005813]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228]
CHOYP_PHUM_PHUM066670.2.3|m.42178	4355	43	21	-0.961	0.961	-3.6015	3.6015	0	0.587613	0	CHOYP_PHUM_PHUM066670.2.3|m.42178	P98160	PGBM_HUMAN	35.99	2751	1520	64	1007	3650	194	2810	0	1591	1	P98160	PGBM_HUMAN	reviewed	Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide]	HSPG2	Homo sapiens (Human)	4391	angiogenesis [GO:0001525]; cellular protein metabolic process [GO:0044267]; extracellular matrix disassembly [GO:0022617]; extracellular matrix organization [GO:0030198]; glycosaminoglycan biosynthetic process [GO:0006024]; glycosaminoglycan catabolic process [GO:0006027]; glycosaminoglycan metabolic process [GO:0030203]; retinoid metabolic process [GO:0001523]	GO:0001523; GO:0001525; GO:0005509; GO:0005576; GO:0005604; GO:0005615; GO:0005796; GO:0005886; GO:0005925; GO:0006024; GO:0006027; GO:0008022; GO:0022617; GO:0030198; GO:0030203; GO:0031012; GO:0043202; GO:0044267; GO:0070062				PF00008;PF07679;PF13895;PF00052;PF00053;PF00054;PF00057;	basement membrane [GO:0005604]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; Golgi lumen [GO:0005796]; lysosomal lumen [GO:0043202]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; protein C-terminus binding [GO:0008022]; angiogenesis [GO:0001525]; cellular protein metabolic process [GO:0044267]; extracellular matrix disassembly [GO:0022617]; extracellular matrix organization [GO:0030198]; glycosaminoglycan biosynthetic process [GO:0006024]; glycosaminoglycan catabolic process [GO:0006027]; glycosaminoglycan metabolic process [GO:0030203]; retinoid metabolic process [GO:0001523]
CHOYP_DYHC.1.3|m.10664	4465	146	74	-0.917	0.917	-6.1862	6.1862	0	0.585802	0	CHOYP_DYHC.1.3|m.10664	P23098	DYHC_TRIGR	73.97	4464	1149	6	9	4463	6	4465	0	7031	1	P23098	DYHC_TRIGR	reviewed	"Dynein beta chain, ciliary"		Tripneustes gratilla (Hawaian sea urchin) (Echinus gratilla)	4466	cell projection organization [GO:0030030]; microtubule-based movement [GO:0007018]	GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0007018; GO:0016887; GO:0030030; GO:0030286; GO:0031514				PF07728;PF12780;PF08385;PF08393;PF03028;PF12777;	cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; motile cilium [GO:0031514]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule motor activity [GO:0003777]; cell projection organization [GO:0030030]; microtubule-based movement [GO:0007018]
CHOYP_EIF3E.1.1|m.27167	460	31	16	-0.903	0.903	-2.8444	2.8444	0	0.589797	0	CHOYP_EIF3E.1.1|m.27167	Q641X8	EIF3E_RAT	77.32	441	96	3	22	459	1	440	0	717	1	Q641X8	EIF3E_RAT	reviewed	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (eIF-3 p48)	Eif3e Eif3s6 Int6	Rattus norvegicus (Rat)	445	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; translational initiation [GO:0006413]"	GO:0000184; GO:0003743; GO:0005634; GO:0005852; GO:0006413; GO:0016605				PF09440;PF01399;	"eukaryotic translation initiation factor 3 complex [GO:0005852]; nucleus [GO:0005634]; PML body [GO:0016605]; translation initiation factor activity [GO:0003743]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; translational initiation [GO:0006413]"
CHOYP_TRIADDRAFT_64314.1.2|m.9124	206	17	9	-0.892	0.892	-2.1393	2.1393	0	0.595761	0	CHOYP_TRIADDRAFT_64314.1.2|m.9124	Q93T20	CHRR_PSEPU	31.67	180	105	6	8	182	7	173	1.00E-15	75.5	1	Q93T20	CHRR_PSEPU	reviewed	Chromate reductase (CHRR) (EC 1.6.5.2) (NAD(P)H dehydrogenase (quinone))	chrR	Pseudomonas putida (Arthrobacter siderocapsulatus)	186		GO:0003955				PF03358;	NAD(P)H dehydrogenase (quinone) activity [GO:0003955]
CHOYP_NAGLU.2.2|m.60267	864	25	13	-0.873	0.873	-2.5793	2.5793	0	0.591279	0	CHOYP_NAGLU.2.2|m.60267	P54802	ANAG_HUMAN	43.78	699	383	9	114	807	43	736	0	628	1	P54802	ANAG_HUMAN	reviewed	Alpha-N-acetylglucosaminidase (EC 3.2.1.50) (N-acetyl-alpha-glucosaminidase) (NAG) [Cleaved into: Alpha-N-acetylglucosaminidase 82 kDa form; Alpha-N-acetylglucosaminidase 77 kDa form]	NAGLU UFHSD1	Homo sapiens (Human)	743	cerebellar Purkinje cell layer development [GO:0021680]; glycosaminoglycan catabolic process [GO:0006027]; inner ear receptor cell development [GO:0060119]; locomotor rhythm [GO:0045475]; lysosome organization [GO:0007040]; middle ear morphogenesis [GO:0042474]; nervous system development [GO:0007399]; retinal rod cell development [GO:0046548]	GO:0004561; GO:0005764; GO:0006027; GO:0007040; GO:0007399; GO:0021680; GO:0042474; GO:0043202; GO:0045475; GO:0046548; GO:0060119; GO:0070062				PF05089;PF12972;PF12971;	extracellular exosome [GO:0070062]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]; alpha-N-acetylglucosaminidase activity [GO:0004561]; cerebellar Purkinje cell layer development [GO:0021680]; glycosaminoglycan catabolic process [GO:0006027]; inner ear receptor cell development [GO:0060119]; locomotor rhythm [GO:0045475]; lysosome organization [GO:0007040]; middle ear morphogenesis [GO:0042474]; nervous system development [GO:0007399]; retinal rod cell development [GO:0046548]
K1C10_HUMAN	593	36	19	-0.866	0.866	-3.1004	3.1004	0	0.588749	0																												
CHOYP_SF3A1.1.3|m.41531	769	20	11	-0.853	0.853	-2.2111	2.2111	0	0.594804	0	CHOYP_SF3A1.1.3|m.41531	Q15459	SF3A1_HUMAN	63.42	544	166	9	17	547	27	550	0	608	1	Q15459	SF3A1_HUMAN	reviewed	Splicing factor 3A subunit 1 (SF3a120) (Spliceosome-associated protein 114) (SAP 114)	SF3A1 SAP114	Homo sapiens (Human)	793	"mRNA 3'-splice site recognition [GO:0000389]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]"	GO:0000381; GO:0000389; GO:0000398; GO:0003723; GO:0005654; GO:0005681; GO:0005684; GO:0005686; GO:0006397; GO:0016607; GO:0071004; GO:0071013				PF12230;PF01805;PF00240;	"catalytic step 2 spliceosome [GO:0071013]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; U2 snRNP [GO:0005686]; U2-type prespliceosome [GO:0071004]; U2-type spliceosomal complex [GO:0005684]; RNA binding [GO:0003723]; mRNA 3'-splice site recognition [GO:0000389]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]"
CHOYP_FASN.3.4|m.60278	2542	35	19	-0.847	0.847	-2.9244	2.9244	0	0.589438	0	CHOYP_FASN.3.4|m.60278	P12276	FAS_CHICK	49.96	2520	1166	32	64	2521	3	2489	0	2447	1	P12276	FAS_CHICK	reviewed	Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	FASN FAS	Gallus gallus (Chicken)	2512	fatty acid biosynthetic process [GO:0006633]; lactate metabolic process [GO:0006089]; positive regulation of appetite [GO:0032100]	GO:0003697; GO:0004312; GO:0004313; GO:0004314; GO:0004315; GO:0004316; GO:0004317; GO:0004319; GO:0004320; GO:0005623; GO:0006089; GO:0006633; GO:0016295; GO:0016296; GO:0031177; GO:0032100; GO:0047117; GO:0047451; GO:0102132				PF00698;PF00107;PF16197;PF00109;PF02801;PF08659;PF00550;PF14765;PF00975;	"cell [GO:0005623]; 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity [GO:0047451]; 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity [GO:0004317]; 3-oxo-pimeloyl-[acp] methyl ester reductase activity [GO:0102132]; 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; [acyl-carrier-protein] S-acetyltransferase activity [GO:0004313]; [acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity [GO:0047117]; enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity [GO:0004319]; fatty acid synthase activity [GO:0004312]; myristoyl-[acyl-carrier-protein] hydrolase activity [GO:0016295]; oleoyl-[acyl-carrier-protein] hydrolase activity [GO:0004320]; palmitoyl-[acyl-carrier-protein] hydrolase activity [GO:0016296]; phosphopantetheine binding [GO:0031177]; single-stranded DNA binding [GO:0003697]; fatty acid biosynthetic process [GO:0006633]; lactate metabolic process [GO:0006089]; positive regulation of appetite [GO:0032100]"
CHOYP_NEMVEDRAFT_V1G159364.1.1|m.22912	162	90	50	-0.828	0.828	-4.5952	4.5952	0	0.586291	0	CHOYP_NEMVEDRAFT_V1G159364.1.1|m.22912	P79781	RS27A_CHICK	89.8	147	14	1	13	158	8	154	1.00E-79	239	1	P79781	RS27A_CHICK	reviewed	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	RPS27A UBA80	Gallus gallus (Chicken)	156	DNA repair [GO:0006281]; translation [GO:0006412]; translesion synthesis [GO:0019985]	GO:0003723; GO:0003735; GO:0005615; GO:0005654; GO:0005730; GO:0006281; GO:0006412; GO:0016020; GO:0019985; GO:0022627; GO:0043209; GO:0046872; GO:0070062				PF01599;PF00240;	cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; membrane [GO:0016020]; myelin sheath [GO:0043209]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; DNA repair [GO:0006281]; translation [GO:0006412]; translesion synthesis [GO:0019985]
CHOYP_NEMVEDRAFT_V1G122785.1.1|m.57840	1109	19	11	-0.819	0.819	-2.1267	2.1267	0	0.595939	0	CHOYP_NEMVEDRAFT_V1G122785.1.1|m.57840	P33450	FAT_DROME	25.75	936	633	29	13	919	2778	3680	3.00E-51	202	1	P33450	FAT_DROME	reviewed	Cadherin-related tumor suppressor (Protein fat) [Cleaved into: Ft-mito]	ft CG3352	Drosophila melanogaster (Fruit fly)	5147	"calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell morphogenesis involved in differentiation [GO:0000904]; cell proliferation [GO:0008283]; equator specification [GO:0045317]; establishment of body hair planar orientation [GO:0048105]; establishment of epithelial cell apical/basal polarity [GO:0045198]; establishment of imaginal disc-derived wing hair orientation [GO:0001737]; establishment of ommatidial planar polarity [GO:0042067]; establishment of planar polarity [GO:0001736]; establishment of tissue polarity [GO:0007164]; establishment or maintenance of polarity of larval imaginal disc epithelium [GO:0016336]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; imaginal disc-derived wing morphogenesis [GO:0007476]; imaginal disc growth [GO:0007446]; imaginal disc pattern formation [GO:0007447]; microtubule cytoskeleton organization involved in establishment of planar polarity [GO:0090176]; negative regulation of cell proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of growth [GO:0045926]; negative regulation of imaginal disc growth [GO:0045571]; negative regulation of Wnt signaling pathway [GO:0030178]; ommatidial rotation [GO:0016318]; peptide cross-linking [GO:0018149]; pupal development [GO:0035209]; regulation of growth [GO:0040008]; regulation of imaginal disc growth [GO:0045570]; regulation of organ growth [GO:0046620]; regulation of protein localization [GO:0032880]; regulation of tube length, open tracheal system [GO:0035159]; single organismal cell-cell adhesion [GO:0016337]; tissue development [GO:0009888]; wing disc development [GO:0035220]"	GO:0000904; GO:0001736; GO:0001737; GO:0004872; GO:0005509; GO:0005739; GO:0005887; GO:0007156; GO:0007157; GO:0007164; GO:0007446; GO:0007447; GO:0007476; GO:0008283; GO:0008285; GO:0009888; GO:0010629; GO:0016021; GO:0016318; GO:0016324; GO:0016336; GO:0016337; GO:0016339; GO:0018149; GO:0030178; GO:0032880; GO:0035159; GO:0035209; GO:0035220; GO:0035329; GO:0040008; GO:0042067; GO:0044331; GO:0045198; GO:0045296; GO:0045317; GO:0045570; GO:0045571; GO:0045926; GO:0046620; GO:0048105; GO:0050839; GO:0090176				PF00028;PF00008;PF00054;PF02210;	"apical plasma membrane [GO:0016324]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; mitochondrion [GO:0005739]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; receptor activity [GO:0004872]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell morphogenesis involved in differentiation [GO:0000904]; cell proliferation [GO:0008283]; cell-cell adhesion mediated by cadherin [GO:0044331]; equator specification [GO:0045317]; establishment of body hair planar orientation [GO:0048105]; establishment of epithelial cell apical/basal polarity [GO:0045198]; establishment of imaginal disc-derived wing hair orientation [GO:0001737]; establishment of ommatidial planar polarity [GO:0042067]; establishment of planar polarity [GO:0001736]; establishment of tissue polarity [GO:0007164]; establishment or maintenance of polarity of larval imaginal disc epithelium [GO:0016336]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; imaginal disc growth [GO:0007446]; imaginal disc pattern formation [GO:0007447]; imaginal disc-derived wing morphogenesis [GO:0007476]; microtubule cytoskeleton organization involved in establishment of planar polarity [GO:0090176]; negative regulation of cell proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of growth [GO:0045926]; negative regulation of imaginal disc growth [GO:0045571]; negative regulation of Wnt signaling pathway [GO:0030178]; ommatidial rotation [GO:0016318]; peptide cross-linking [GO:0018149]; pupal development [GO:0035209]; regulation of growth [GO:0040008]; regulation of imaginal disc growth [GO:0045570]; regulation of organ growth [GO:0046620]; regulation of protein localization [GO:0032880]; regulation of tube length, open tracheal system [GO:0035159]; single organismal cell-cell adhesion [GO:0016337]; tissue development [GO:0009888]; wing disc development [GO:0035220]"
K2C1_HUMAN	643	64	37	-0.797	0.797	-3.9474	3.9474	0	0.586995	0																												
CHOYP_TRIADDRAFT_63666.3.3|m.57696	226	27	16	-0.772	0.772	-2.3593	2.3593	0	0.593125	0																												
CHOYP_A2M.2.3|m.54214	2240	25	15	-0.768	0.768	-2.2186	2.2186	0	0.59471	0	CHOYP_A2M.2.3|m.54214	P20742	PZP_HUMAN	36.58	995	542	25	1167	2108	511	1469	3.00E-180	599	1	P20742	PZP_HUMAN	reviewed	Pregnancy zone protein (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 6)	PZP CPAMD6	Homo sapiens (Human)	1482	female pregnancy [GO:0007565]	GO:0004866; GO:0004867; GO:0005576; GO:0007565; GO:0070062; GO:0072562				PF00207;PF07678;PF01835;PF07703;PF07677;PF10569;	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; endopeptidase inhibitor activity [GO:0004866]; serine-type endopeptidase inhibitor activity [GO:0004867]; female pregnancy [GO:0007565]
CHOYP_TXND3.2.4|m.21415	772	35	21	-0.762	0.762	-2.7522	2.7522	0	0.590251	0	CHOYP_TXND3.2.4|m.21415	P90666	TXND3_HELCR	45.52	782	366	9	1	745	1	759	0	657	1	P90666	TXND3_HELCR	reviewed	Thioredoxin domain-containing protein 3 homolog (Intermediate chain 1) (NME/NM23 family member 8)	NME8 IC1	Heliocidaris crassispina (Sea urchin) (Anthocidaris crassispina)	837	cell differentiation [GO:0030154]; cell redox homeostasis [GO:0045454]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; multicellular organism development [GO:0007275]; spermatogenesis [GO:0007283]; UTP biosynthetic process [GO:0006228]	GO:0004550; GO:0005623; GO:0006183; GO:0006228; GO:0006241; GO:0007275; GO:0007283; GO:0030154; GO:0045454				PF00334;PF00085;	cell [GO:0005623]; nucleoside diphosphate kinase activity [GO:0004550]; cell differentiation [GO:0030154]; cell redox homeostasis [GO:0045454]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; multicellular organism development [GO:0007275]; spermatogenesis [GO:0007283]; UTP biosynthetic process [GO:0006228]
CHOYP_LOC578003.1.1|m.64329	573	27	16	-0.761	0.761	-2.2815	2.2815	0	0.59396	0	CHOYP_LOC578003.1.1|m.64329	Q5M7D6	P4R2A_XENLA	50.96	157	72	3	24	179	1	153	1.00E-38	150	1	Q5M7D6	P4R2A_XENLA	reviewed	Serine/threonine-protein phosphatase 4 regulatory subunit 2-A	ppp4r2-a	Xenopus laevis (African clawed frog)	403		GO:0019888; GO:0030289				PF09184;	protein phosphatase 4 complex [GO:0030289]; protein phosphatase regulator activity [GO:0019888]
CHOYP_LOC100368022.1.1|m.55588	749	35	21	-0.749	0.749	-2.7149	2.7149	0	0.59045	0	CHOYP_LOC100368022.1.1|m.55588	Q16959	DYI2_HELCR	63.5	715	226	4	36	748	20	701	0	926	1	Q16959	DYI2_HELCR	reviewed	"Dynein intermediate chain 2, ciliary"		Heliocidaris crassispina (Sea urchin) (Anthocidaris crassispina)	702		GO:0003774; GO:0005737; GO:0005874; GO:0005929; GO:0030286				PF00400;	cilium [GO:0005929]; cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; motor activity [GO:0003774]
