Protein	Len	27	32	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value Zstatistic	fdr	FDRup	FDRdown																												
CHOYP_SMCA4.1.1|m.54020	1670	3	15	1.409	1.409	2.2184	2.2184	0	0	0.590009	CHOYP_SMCA4.1.1|m.54020	A7Z019	SMCA4_BOVIN	60.22	1581	483	26	184	1657	44	1585	0	1685	1	A7Z019	SMCA4_BOVIN	reviewed	Transcription activator BRG1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA4) (BRG1-associated factor 190A) (BAF190A) (Protein brahma homolog 1) (SNF2-beta) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4)	SMARCA4 BAF190A BRG1 SNF2B SNF2L4	Bos taurus (Bovine)	1606	"ATP-dependent chromatin remodeling [GO:0043044]; covalent chromatin modification [GO:0016569]; nervous system development [GO:0007399]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"	GO:0003682; GO:0004386; GO:0005524; GO:0006351; GO:0006355; GO:0007399; GO:0016514; GO:0016569; GO:0016887; GO:0043044; GO:0071564; GO:0071565				PF07533;PF00439;PF00271;PF07529;PF08880;PF14619;PF00176;	"nBAF complex [GO:0071565]; npBAF complex [GO:0071564]; SWI/SNF complex [GO:0016514]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; chromatin binding [GO:0003682]; helicase activity [GO:0004386]; ATP-dependent chromatin remodeling [GO:0043044]; covalent chromatin modification [GO:0016569]; nervous system development [GO:0007399]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"
CHOYP_LOC100369186.2.9|m.27904	345	1	12	2.529	2.529	2.1957	2.1957	0	0	0.59025	CHOYP_LOC100369186.2.9|m.27904	Q09654	TRI23_CAEEL	25	208	123	7	22	207	118	314	0.0000006	54.7	1	Q09654	TRI23_CAEEL	reviewed	E3 ubiquitin-protein ligase arc-1 (EC 2.3.2.27) (Putative GTP-binding protein trim-23 homolog) (RING-type E3 ubiquitin transferase arc-1)	arc-1 arl-4 ZK1320.6	Caenorhabditis elegans	539	protein ubiquitination [GO:0016567]; small GTPase mediated signal transduction [GO:0007264]	GO:0005525; GO:0005622; GO:0007264; GO:0008270; GO:0016567; GO:0016740	PATHWAY: Protein modification; protein ubiquitination.			PF00025;PF00643;PF13445;	intracellular [GO:0005622]; GTP binding [GO:0005525]; transferase activity [GO:0016740]; zinc ion binding [GO:0008270]; protein ubiquitination [GO:0016567]; small GTPase mediated signal transduction [GO:0007264]
CHOYP_LOC100180023.5.7|m.56825	154	1	10	2.252	2.252	2.1896	2.1896	0	0	0.590318	CHOYP_LOC100180023.5.7|m.56825	A0QZA1	Y3950_MYCS2	28.57	154	94	4	4	153	10	151	6.00E-10	59.7	1	A0QZA1	Y3950_MYCS2	reviewed	Universal stress protein MSMEG_3950/MSMEI_3859 (USP MSMEG_3950)	MSMEG_3950 MSMEI_3859	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	294	response to stress [GO:0006950]	GO:0006950				PF00582;	response to stress [GO:0006950]
CHOYP_contig_020023|m.23276	322	25	52	0.513	0.513	2.1811	2.1811	0	0	0.590414																												
CHOYP_FL2D.1.1|m.62439	407	1	10	2.295	2.295	2.1747	2.1747	0	0	0.590487	CHOYP_FL2D.1.1|m.62439	Q7SXL7	FL2D_DANRE	49.43	263	126	4	7	267	8	265	4.00E-74	243	1	Q7SXL7	FL2D_DANRE	reviewed	Pre-mRNA-splicing regulator WTAP (Female-lethal(2)D homolog) (WT1-associated protein) (Wilms tumor 1-associating protein)	wtap ch211-195e3.2 zgc:66202	Danio rerio (Zebrafish) (Brachydanio rerio)	423	"cell cycle [GO:0007049]; mRNA methylation [GO:0080009]; mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of apoptotic process [GO:0042981]; RNA splicing [GO:0008380]"	GO:0000381; GO:0005634; GO:0006397; GO:0007049; GO:0008380; GO:0016607; GO:0036396; GO:0042981; GO:0080009				PF17098;	"MIS complex [GO:0036396]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; cell cycle [GO:0007049]; mRNA methylation [GO:0080009]; mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of apoptotic process [GO:0042981]; RNA splicing [GO:0008380]"
CHOYP_ZFR.1.1|m.57469	973	12	32	0.768	0.768	2.1688	2.1688	0	0	0.590557	CHOYP_ZFR.1.1|m.57469	Q96KR1	ZFR_HUMAN	51.71	996	364	19	51	960	106	1070	0	845	1	Q96KR1	ZFR_HUMAN	reviewed	Zinc finger RNA-binding protein (hZFR) (M-phase phosphoprotein homolog)	ZFR	Homo sapiens (Human)	1074	multicellular organism development [GO:0007275]	GO:0003677; GO:0003723; GO:0005634; GO:0005694; GO:0005737; GO:0007275; GO:0008270				PF07528;	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; multicellular organism development [GO:0007275]
CHOYP_LOC661226.1.1|m.62936	500	23	51	0.573	0.573	2.1653	2.1653	0	0	0.590598	CHOYP_LOC661226.1.1|m.62936	Q16658	FSCN1_HUMAN	42.6	493	268	9	14	499	9	493	1.00E-133	403	1	Q16658	FSCN1_HUMAN	reviewed	Fascin (55 kDa actin-bundling protein) (Singed-like protein) (p55)	FSCN1 FAN1 HSN SNL	Homo sapiens (Human)	493	actin cytoskeleton organization [GO:0030036]; actin filament bundle assembly [GO:0051017]; anatomical structure morphogenesis [GO:0009653]; cell-cell junction assembly [GO:0007043]; cell migration [GO:0016477]; cell motility [GO:0048870]; cell proliferation [GO:0008283]; establishment of apical/basal cell polarity [GO:0035089]; microspike assembly [GO:0030035]; positive regulation of extracellular matrix disassembly [GO:0090091]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of podosome assembly [GO:0071803]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of microvillus assembly [GO:0032534]	GO:0001725; GO:0001726; GO:0002102; GO:0003723; GO:0003779; GO:0005737; GO:0005829; GO:0005856; GO:0005902; GO:0005911; GO:0007043; GO:0008144; GO:0008283; GO:0009653; GO:0010592; GO:0015629; GO:0016477; GO:0030027; GO:0030035; GO:0030036; GO:0030175; GO:0030426; GO:0031253; GO:0031941; GO:0032534; GO:0032956; GO:0035089; GO:0043209; GO:0044393; GO:0045296; GO:0048870; GO:0051015; GO:0051017; GO:0051491; GO:0070062; GO:0071437; GO:0071803; GO:0090091			cd00257;	PF06268;	actin cytoskeleton [GO:0015629]; cell projection membrane [GO:0031253]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; filamentous actin [GO:0031941]; filopodium [GO:0030175]; growth cone [GO:0030426]; invadopodium [GO:0071437]; lamellipodium [GO:0030027]; microspike [GO:0044393]; microvillus [GO:0005902]; myelin sheath [GO:0043209]; podosome [GO:0002102]; ruffle [GO:0001726]; stress fiber [GO:0001725]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; drug binding [GO:0008144]; RNA binding [GO:0003723]; actin cytoskeleton organization [GO:0030036]; actin filament bundle assembly [GO:0051017]; anatomical structure morphogenesis [GO:0009653]; cell migration [GO:0016477]; cell motility [GO:0048870]; cell proliferation [GO:0008283]; cell-cell junction assembly [GO:0007043]; establishment of apical/basal cell polarity [GO:0035089]; microspike assembly [GO:0030035]; positive regulation of extracellular matrix disassembly [GO:0090091]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of podosome assembly [GO:0071803]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of microvillus assembly [GO:0032534]
CHOYP_SYMC.1.1|m.18367	1004	3	14	1.437	1.437	2.1618	2.1618	0	0	0.59064	CHOYP_SYMC.1.1|m.18367	P56192	SYMC_HUMAN	54.76	893	371	8	28	910	30	899	0	998	1	P56192	SYMC_HUMAN	reviewed	"Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)"	MARS	Homo sapiens (Human)	900	methionyl-tRNA aminoacylation [GO:0006431]; tRNA aminoacylation for protein translation [GO:0006418]	GO:0000049; GO:0004825; GO:0005524; GO:0005829; GO:0006418; GO:0006431; GO:0016020; GO:0070062			cd00814;	PF00043;PF09334;PF00458;	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; ATP binding [GO:0005524]; methionine-tRNA ligase activity [GO:0004825]; tRNA binding [GO:0000049]; methionyl-tRNA aminoacylation [GO:0006431]; tRNA aminoacylation for protein translation [GO:0006418]
CHOYP_BRAFLDRAFT_88218.8.8|m.64733	466	2	12	1.744	1.744	2.1491	2.1491	0	0	0.590796																												
CHOYP_RL18A.6.8|m.61646	207	12	31	0.739	0.739	2.149	2.149	0	0	0.590797																												
CHOYP_MDHC.1.1|m.57053	334	40	74	0.416	0.416	2.1456	2.1456	0	0	0.59084	CHOYP_MDHC.1.1|m.57053	Q5ZME2	MDHC_CHICK	71.43	329	92	2	1	328	1	328	1.00E-162	464	1	Q5ZME2	MDHC_CHICK	reviewed	"Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Cytosolic malate dehydrogenase)"	MDH1 RCJMB04_2g5	Gallus gallus (Chicken)	334	carbohydrate metabolic process [GO:0005975]; malate metabolic process [GO:0006108]; NADH metabolic process [GO:0006734]; oxaloacetate metabolic process [GO:0006107]; tricarboxylic acid cycle [GO:0006099]	GO:0005615; GO:0005739; GO:0005829; GO:0005975; GO:0006099; GO:0006107; GO:0006108; GO:0006734; GO:0030060			cd01336;	PF02866;PF00056;	cytosol [GO:0005829]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; L-malate dehydrogenase activity [GO:0030060]; carbohydrate metabolic process [GO:0005975]; malate metabolic process [GO:0006108]; NADH metabolic process [GO:0006734]; oxaloacetate metabolic process [GO:0006107]; tricarboxylic acid cycle [GO:0006099]
CHOYP_YAHB.1.1|m.25422	155	5	19	1.171	1.171	2.1378	2.1378	0	0	0.590939	CHOYP_YAHB.1.1|m.25422	P42297	YXIE_BACSU	31.13	151	92	4	9	153	4	148	9.00E-12	63.2	1	P42297	YXIE_BACSU	reviewed	Universal stress protein YxiE (USP YxiE)	yxiE BSU39250 N17E	Bacillus subtilis (strain 168)	148	response to stress [GO:0006950]	GO:0006950				PF00582;	response to stress [GO:0006950]
CHOYP_LOC100377034.1.1|m.6251	952	50	91	0.372	0.372	2.1356	2.1356	0	0	0.590968	CHOYP_LOC100377034.1.1|m.6251	Q6GNL7	AL1L1_XENLA	71.54	903	253	4	48	947	1	902	0	1355	1	Q6GNL7	AL1L1_XENLA	reviewed	Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1)	aldh1l1	Xenopus laevis (African clawed frog)	902	10-formyltetrahydrofolate catabolic process [GO:0009258]; biosynthetic process [GO:0009058]; one-carbon metabolic process [GO:0006730]	GO:0005737; GO:0006730; GO:0009058; GO:0009258; GO:0016155; GO:0016620; GO:0016742				PF00171;PF02911;PF00551;	"cytoplasm [GO:0005737]; formyltetrahydrofolate dehydrogenase activity [GO:0016155]; hydroxymethyl-, formyl- and related transferase activity [GO:0016742]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]; 10-formyltetrahydrofolate catabolic process [GO:0009258]; biosynthetic process [GO:0009058]; one-carbon metabolic process [GO:0006730]"
CHOYP_LOC100377160.2.2|m.55835	388	12	31	0.738	0.738	2.1129	2.1129	0	0	0.59127	CHOYP_LOC100377160.2.2|m.55835	P50867	CYSK_EMENI	60.06	328	127	3	56	379	34	361	2.00E-136	401	1	P50867	CYSK_EMENI	reviewed	Cysteine synthase 1 (CS 1) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase 1) (OAS-TL 1) (O-acetylserine sulfhydrylase 1)	cysB cysE AN8057	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	370	cellular amino acid biosynthetic process [GO:0008652]; cysteine biosynthetic process from serine [GO:0006535]	GO:0004124; GO:0005737; GO:0005739; GO:0006535; GO:0008652; GO:0016740; GO:0030170	PATHWAY: Amino-acid biosynthesis; L-cysteine biosynthesis; L-cysteine from L-serine: step 2/2. {ECO:0000305|PubMed:17482430}.			PF00291;	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; cysteine synthase activity [GO:0004124]; pyridoxal phosphate binding [GO:0030170]; transferase activity [GO:0016740]; cellular amino acid biosynthetic process [GO:0008652]; cysteine biosynthetic process from serine [GO:0006535]
CHOYP_SYYC.2.2|m.58390	541	10	29	0.844	0.844	2.1128	2.1128	0	0	0.591271	CHOYP_SYYC.2.2|m.58390	Q6TGS6	SYYC_DANRE	71.07	522	146	3	17	535	5	524	0	749	1	Q6TGS6	SYYC_DANRE	reviewed	"Tyrosine--tRNA ligase, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)"	yars	Danio rerio (Zebrafish) (Brachydanio rerio)	529	cellular response to DNA damage stimulus [GO:0006974]; tRNA aminoacylation for protein translation [GO:0006418]; tyrosyl-tRNA aminoacylation [GO:0006437]	GO:0000049; GO:0004831; GO:0005524; GO:0006418; GO:0006437; GO:0006974; GO:0017101; GO:0017102			cd00805;	PF00579;PF01588;	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; methionyl glutamyl tRNA synthetase complex [GO:0017102]; ATP binding [GO:0005524]; tRNA binding [GO:0000049]; tyrosine-tRNA ligase activity [GO:0004831]; cellular response to DNA damage stimulus [GO:0006974]; tRNA aminoacylation for protein translation [GO:0006418]; tyrosyl-tRNA aminoacylation [GO:0006437]
CHOYP_S26A5.2.2|m.9883	828	1	10	2.107	2.107	2.111	2.111	0	0	0.591296	CHOYP_S26A5.2.2|m.9883	Q62273	S26A2_MOUSE	35.99	564	350	7	44	599	46	606	3.00E-110	360	1	Q62273	S26A2_MOUSE	reviewed	Sulfate transporter (Diastrophic dysplasia protein homolog) (ST-OB) (Solute carrier family 26 member 2)	Slc26a2 Dtd Dtdst	Mus musculus (Mouse)	739	bicarbonate transport [GO:0015701]; chloride transmembrane transport [GO:1902476]; ossification [GO:0001503]; regulation of intracellular pH [GO:0051453]; regulation of membrane potential [GO:0042391]; sulfate transmembrane transport [GO:1902358]	GO:0001503; GO:0005254; GO:0005887; GO:0008271; GO:0015106; GO:0015116; GO:0015301; GO:0015701; GO:0019531; GO:0042391; GO:0051453; GO:0070062; GO:1902358; GO:1902476				PF01740;PF00916;	extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; anion:anion antiporter activity [GO:0015301]; bicarbonate transmembrane transporter activity [GO:0015106]; chloride channel activity [GO:0005254]; oxalate transmembrane transporter activity [GO:0019531]; secondary active sulfate transmembrane transporter activity [GO:0008271]; sulfate transmembrane transporter activity [GO:0015116]; bicarbonate transport [GO:0015701]; chloride transmembrane transport [GO:1902476]; ossification [GO:0001503]; regulation of intracellular pH [GO:0051453]; regulation of membrane potential [GO:0042391]; sulfate transmembrane transport [GO:1902358]
CHOYP_LOC100114310.2.2|m.64228	198	9	24	0.782	0.782	2.0958	2.0958	0	0	0.59151	CHOYP_LOC100114310.2.2|m.64228	P36241	RL19_DROME	74.62	197	50	0	1	197	2	198	7.00E-95	281	1	P36241	RL19_DROME	reviewed	60S ribosomal protein L19	RpL19 M(2)60E CG2746	Drosophila melanogaster (Fruit fly)	203	centrosome duplication [GO:0051298]; cytoplasmic translation [GO:0002181]	GO:0002181; GO:0003735; GO:0005840; GO:0022625; GO:0022626; GO:0051298			cd01417;	PF01280;	cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; centrosome duplication [GO:0051298]; cytoplasmic translation [GO:0002181]
CHOYP_TITIN.8.19|m.35861	10698	64	111	0.327	0.327	2.0911	2.0911	0	0	0.591577	CHOYP_TITIN.8.19|m.35861	A2ASS6	TITIN_MOUSE	31.69	1881	1169	47	8719	10554	25085	26894	0	795	1	A2ASS6	TITIN_MOUSE	reviewed	Titin (EC 2.7.11.1) (Connectin)	Ttn	Mus musculus (Mouse)	35213	actin filament organization [GO:0007015]; adult heart development [GO:0007512]; cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; forward locomotion [GO:0043056]; heart development [GO:0007507]; heart growth [GO:0060419]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; regulation of relaxation of cardiac muscle [GO:1901897]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; somitogenesis [GO:0001756]; striated muscle cell development [GO:0055002]; striated muscle contraction [GO:0006941]; striated muscle myosin thick filament assembly [GO:0071688]; ventricular system development [GO:0021591]	GO:0000794; GO:0001701; GO:0001756; GO:0002020; GO:0003007; GO:0003300; GO:0004674; GO:0004713; GO:0005200; GO:0005509; GO:0005516; GO:0005524; GO:0005859; GO:0005865; GO:0006936; GO:0006941; GO:0007015; GO:0007507; GO:0007512; GO:0008307; GO:0019899; GO:0019901; GO:0021591; GO:0030017; GO:0030018; GO:0030240; GO:0030241; GO:0030506; GO:0031430; GO:0031433; GO:0031672; GO:0031674; GO:0035995; GO:0042802; GO:0042805; GO:0043056; GO:0043621; GO:0045214; GO:0045859; GO:0048739; GO:0048769; GO:0050790; GO:0051015; GO:0051371; GO:0051592; GO:0055002; GO:0055003; GO:0055008; GO:0060048; GO:0060419; GO:0070062; GO:0071688; GO:0097493; GO:1901897			cd00063;	PF00041;PF07679;PF00069;PF02818;PF09042;	A band [GO:0031672]; condensed nuclear chromosome [GO:0000794]; extracellular exosome [GO:0070062]; I band [GO:0031674]; M band [GO:0031430]; muscle myosin complex [GO:0005859]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; actinin binding [GO:0042805]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; muscle alpha-actinin binding [GO:0051371]; protease binding [GO:0002020]; protein kinase binding [GO:0019901]; protein self-association [GO:0043621]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of muscle [GO:0008307]; structural molecule activity conferring elasticity [GO:0097493]; telethonin binding [GO:0031433]; actin filament organization [GO:0007015]; adult heart development [GO:0007512]; cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; forward locomotion [GO:0043056]; heart development [GO:0007507]; heart growth [GO:0060419]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; regulation of relaxation of cardiac muscle [GO:1901897]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; somitogenesis [GO:0001756]; striated muscle cell development [GO:0055002]; striated muscle contraction [GO:0006941]; striated muscle myosin thick filament assembly [GO:0071688]; ventricular system development [GO:0021591]
CHOYP_contig_044078|m.50900	2534	88	143	0.268	0.268	2.086	2.086	0	0	0.591652	CHOYP_contig_044078|m.50900	Q12955	ANK3_HUMAN	66.87	812	267	2	11	822	41	850	0	1138	1	Q12955	ANK3_HUMAN	reviewed	Ankyrin-3 (ANK-3) (Ankyrin-G)	ANK3	Homo sapiens (Human)	4377	axonogenesis [GO:0007409]; cellular response to magnesium ion [GO:0071286]; cytoskeletal anchoring at plasma membrane [GO:0007016]; ER to Golgi vesicle-mediated transport [GO:0006888]; establishment of protein localization [GO:0045184]; Golgi to plasma membrane protein transport [GO:0043001]; magnesium ion homeostasis [GO:0010960]; maintenance of protein location in plasma membrane [GO:0072660]; membrane assembly [GO:0071709]; mitotic cytokinesis [GO:0000281]; negative regulation of delayed rectifier potassium channel activity [GO:1902260]; neuromuscular junction development [GO:0007528]; neuronal action potential [GO:0019228]; plasma membrane organization [GO:0007009]; positive regulation of cation channel activity [GO:2001259]; positive regulation of cell communication by electrical coupling [GO:0010650]; positive regulation of gene expression [GO:0010628]; positive regulation of homotypic cell-cell adhesion [GO:0034112]; positive regulation of membrane depolarization during cardiac muscle cell action potential [GO:1900827]; positive regulation of membrane potential [GO:0045838]; positive regulation of protein targeting to membrane [GO:0090314]; positive regulation of sodium ion transmembrane transporter activity [GO:2000651]; positive regulation of sodium ion transport [GO:0010765]; protein localization to plasma membrane [GO:0072659]; protein targeting to plasma membrane [GO:0072661]; regulation of potassium ion transport [GO:0043266]; signal transduction [GO:0007165]	GO:0000281; GO:0005200; GO:0005764; GO:0005783; GO:0005794; GO:0005829; GO:0005886; GO:0006888; GO:0007009; GO:0007016; GO:0007165; GO:0007409; GO:0007528; GO:0008092; GO:0009986; GO:0010628; GO:0010650; GO:0010765; GO:0010960; GO:0014704; GO:0014731; GO:0016323; GO:0016328; GO:0016529; GO:0019228; GO:0030018; GO:0030315; GO:0030425; GO:0030507; GO:0030674; GO:0031594; GO:0033268; GO:0034112; GO:0042383; GO:0043001; GO:0043005; GO:0043034; GO:0043194; GO:0043266; GO:0044325; GO:0045184; GO:0045211; GO:0045296; GO:0045838; GO:0071286; GO:0071709; GO:0072659; GO:0072660; GO:0072661; GO:0090314; GO:1900827; GO:1902260; GO:2000651; GO:2001259				PF00023;PF12796;PF13606;PF00531;PF00791;	"axon initial segment [GO:0043194]; basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; costamere [GO:0043034]; cytosol [GO:0005829]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; intercalated disc [GO:0014704]; lateral plasma membrane [GO:0016328]; lysosome [GO:0005764]; neuromuscular junction [GO:0031594]; neuron projection [GO:0043005]; node of Ranvier [GO:0033268]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; T-tubule [GO:0030315]; Z disc [GO:0030018]; cadherin binding [GO:0045296]; cytoskeletal protein binding [GO:0008092]; ion channel binding [GO:0044325]; protein binding, bridging [GO:0030674]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; axonogenesis [GO:0007409]; cellular response to magnesium ion [GO:0071286]; cytoskeletal anchoring at plasma membrane [GO:0007016]; ER to Golgi vesicle-mediated transport [GO:0006888]; establishment of protein localization [GO:0045184]; Golgi to plasma membrane protein transport [GO:0043001]; magnesium ion homeostasis [GO:0010960]; maintenance of protein location in plasma membrane [GO:0072660]; membrane assembly [GO:0071709]; mitotic cytokinesis [GO:0000281]; negative regulation of delayed rectifier potassium channel activity [GO:1902260]; neuromuscular junction development [GO:0007528]; neuronal action potential [GO:0019228]; plasma membrane organization [GO:0007009]; positive regulation of cation channel activity [GO:2001259]; positive regulation of cell communication by electrical coupling [GO:0010650]; positive regulation of gene expression [GO:0010628]; positive regulation of homotypic cell-cell adhesion [GO:0034112]; positive regulation of membrane depolarization during cardiac muscle cell action potential [GO:1900827]; positive regulation of membrane potential [GO:0045838]; positive regulation of protein targeting to membrane [GO:0090314]; positive regulation of sodium ion transmembrane transporter activity [GO:2000651]; positive regulation of sodium ion transport [GO:0010765]; protein localization to plasma membrane [GO:0072659]; protein targeting to plasma membrane [GO:0072661]; regulation of potassium ion transport [GO:0043266]; signal transduction [GO:0007165]"
CHOYP_LOC594130.1.1|m.48747	415	19	40	0.51	0.51	2.0771	2.0771	0	0	0.591784	CHOYP_LOC594130.1.1|m.48747	P32755	HPPD_RAT	68.06	382	121	1	33	414	1	381	0	564	1	P32755	HPPD_RAT	reviewed	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase) (F Alloantigen) (F protein)	Hpd	Rattus norvegicus (Rat)	393	L-phenylalanine catabolic process [GO:0006559]; tyrosine catabolic process [GO:0006572]	GO:0000139; GO:0003868; GO:0005783; GO:0005789; GO:0005794; GO:0006559; GO:0006572; GO:0046872	PATHWAY: Amino-acid degradation; L-phenylalanine degradation; acetoacetate and fumarate from L-phenylalanine: step 3/6.			PF00903;	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; 4-hydroxyphenylpyruvate dioxygenase activity [GO:0003868]; metal ion binding [GO:0046872]; L-phenylalanine catabolic process [GO:0006559]; tyrosine catabolic process [GO:0006572]
CHOYP_LOC100638860.2.2|m.44785	192	1	9	2.141	2.141	2.0693	2.0693	0	0	0.591901	CHOYP_LOC100638860.2.2|m.44785	O28987	Y1281_ARCFU	48.5	167	85	1	25	191	2	167	1.00E-50	167	1	O28987	Y1281_ARCFU	reviewed	Uncharacterized protein AF_1281	AF_1281	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	168						PF01965;	
CHOYP_CYPL.1.1|m.25000	170	2	12	1.731	1.731	2.0677	2.0677	0	0	0.591926	CHOYP_CYPL.1.1|m.25000	Q9D0W5	PPIL1_MOUSE	75.31	162	40	0	4	165	2	163	2.00E-92	272	1	Q9D0W5	PPIL1_MOUSE	reviewed	Peptidyl-prolyl cis-trans isomerase-like 1 (PPIase) (EC 5.2.1.8) (Rotamase PPIL1)	Ppil1	Mus musculus (Mouse)	166	mRNA processing [GO:0006397]; protein folding [GO:0006457]; RNA splicing [GO:0008380]	GO:0003755; GO:0006397; GO:0006457; GO:0008380; GO:0070062; GO:0071013				PF00160;	catalytic step 2 spliceosome [GO:0071013]; extracellular exosome [GO:0070062]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; mRNA processing [GO:0006397]; protein folding [GO:0006457]; RNA splicing [GO:0008380]
